model,budget_per_class,labeled_runs,pct_of_dev_labels,n_measurements,Recall@1_mean,Recall@1_std,Recall@1_std_over_seeds,Recall@1_seed5,Recall@1_seed17,Recall@1_seed42,Recall@3_mean,Recall@3_std,Recall@3_std_over_seeds,Recall@3_seed5,Recall@3_seed17,Recall@3_seed42,MRR_mean,MRR_std,MRR_std_over_seeds,MRR_seed5,MRR_seed17,MRR_seed42,F1macro_mean,F1macro_std,F1macro_std_over_seeds,F1macro_seed5,F1macro_seed17,F1macro_seed42
rf,200,4200,50.0,15,0.6054603174603176,0.005169439433481864,0.0001618736353521548,0.6052380952380952,0.6055238095238096,0.6056190476190476,0.6715238095238095,0.005798845246946568,0.0012071843391638518,0.6716190476190477,0.672952380952381,0.6700000000000002,0.6857850835231788,0.0043481963193303325,0.00010068875798331474,0.6858916144701859,0.6858136453493596,0.6856499907499907,0.6173571591465844,0.004893713922999012,0.0003295057651208324,0.6168995026410468,0.6175100007816101,0.6176619740170965
rf,400,8400,100.0,15,0.6288888888888889,0.007423414299969028,0.0018075734406967257,0.6297142857142857,0.6305714285714286,0.6263809523809524,0.702031746031746,0.006502436700467592,0.001879729694360301,0.7044761904761904,0.6999047619047618,0.7017142857142857,0.7067949766723575,0.00591909198638043,0.0010041060843976298,0.7075086683158112,0.7075012990977277,0.705374962603534,0.637111895202836,0.005725166212557523,0.0008508193369335071,0.6376733775125932,0.6377527795293879,0.6359095285665267
hgb,1,21,0.25,15,0.04761904761904763,1.3877787807814457e-17,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714282,2.7755575615628914e-17,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.17358850975060622,2.7755575615628914e-17,2.7755575615628914e-17,0.1735885097506062,0.1735885097506062,0.1735885097506062,0.004329004329004329,0.0,0.0,0.004329004329004329,0.004329004329004329,0.004329004329004329
hgb,2,42,0.5,15,0.2496825396825397,0.01589712454845357,0.006033583679968281,0.24209523809523814,0.2568571428571429,0.2500952380952381,0.38926984126984127,0.015326003045887725,0.006576410962975429,0.38180952380952377,0.39780952380952384,0.3881904761904762,0.3793777674310771,0.013321152238969926,0.0053022050665993015,0.37283861745287,0.38582534588529716,0.3794693389550643,0.2277258219991495,0.016040687518943855,0.0068003468265605905,0.21839321999291483,0.2344030880161812,0.23038115798835243
hgb,5,105,1.25,15,0.4471746031746032,0.017514029937338995,0.005908003888973715,0.45257142857142857,0.43895238095238104,0.45,0.6204126984126984,0.013950421517610952,0.005382052610280178,0.628,0.616095238095238,0.6171428571428572,0.5742942679491404,0.012815734588007275,0.004814104226180886,0.5797072046460592,0.5680117002610148,0.5751638989403475,0.44929412234130683,0.020730647523654624,0.008719688667742354,0.45811400105988875,0.4374204868309349,0.45234787913309676
hgb,10,210,2.5,15,0.5462857142857144,0.0083193987805333,0.002263115799444005,0.5431428571428571,0.5473333333333332,0.5483809523809524,0.6733968253968253,0.009179270521486245,0.001983047325300512,0.6709523809523809,0.6758095238095237,0.6734285714285714,0.6499757923438191,0.006528123154587425,0.0018838623080835043,0.6473144730247228,0.6514134118326511,0.6511994921740831,0.544374917599987,0.008370989079338998,0.0022345981232816834,0.5412721117157571,0.546445541008236,0.5454071000759677
hgb,20,420,5.0,15,0.5613968253968252,0.010659956317090965,0.001955411250086926,0.5586666666666666,0.5631428571428572,0.5623809523809523,0.6859682539682539,0.010005088148721808,0.0023997144366938875,0.6846666666666666,0.6839047619047619,0.6893333333333334,0.6630469002481241,0.009482841065030145,0.0016867253097908044,0.6610250485124325,0.6629616281068513,0.6651540241250877,0.5652480409260698,0.009676161838392261,0.0018535108164254878,0.562828522729907,0.5673311283093552,0.5655844717389472
hgb,50,1050,12.5,15,0.5823174603174603,0.007614813638382207,0.0020460803865806126,0.5796190476190476,0.5827619047619048,0.5845714285714286,0.7026349206349207,0.010134196565849376,0.0034359121885457577,0.6986666666666667,0.707047619047619,0.7021904761904763,0.6802171941393415,0.0064994586003974215,0.001518834572567762,0.6780868942342405,0.6815203659900144,0.6810443221937694,0.5877243625183473,0.007679346111292819,0.0022159949365227025,0.584961156550883,0.5878255476311997,0.5903863833729593
hgb,100,2100,25.0,15,0.5902857142857143,0.003752751573027262,0.0012146746964894271,0.5885714285714286,0.591047619047619,0.5912380952380952,0.7026031746031747,0.0063002877393328474,0.0037666904125700693,0.6974285714285714,0.7062857142857143,0.7040952380952381,0.6860554267916902,0.0026795724790918012,0.0018191026020752793,0.6834833201398991,0.6872978688326433,0.6873850914025283,0.5986128103983854,0.00340217854911962,0.0009823249876872331,0.5972241186676501,0.5993402474996415,0.5992740650278646
hgb,200,4200,50.0,15,0.594031746031746,0.004510395037164979,0.0016131233036079623,0.5919047619047618,0.5943809523809523,0.5958095238095238,0.6661269841269842,0.006033082558691686,0.0003142696805273572,0.6657142857142857,0.6661904761904763,0.6664761904761904,0.6788461964647907,0.003630723867786658,0.0010608743464181032,0.6775557371102041,0.6788286912335785,0.6801541610505897,0.6055380886399669,0.004809316233203494,0.0021011283920903357,0.6026625275197949,0.6063274311049437,0.6076243072951619
hgb,400,8400,100.0,15,0.6260317460317459,0.005192199121840031,0.0018159174153745661,0.6279999999999999,0.6236190476190476,0.6264761904761904,0.6544761904761905,0.006742875078444431,0.0019424836242258213,0.6571428571428571,0.6537142857142857,0.6525714285714286,0.6897639587925302,0.004851910585946647,0.0012346463806617875,0.691330440194726,0.6883127887985031,0.6896486473843616,0.6401060421979938,0.004900255345874668,0.0017468174890837348,0.6420332745887753,0.6378039983825223,0.6404808536226841
