budget_per_class,labeled_runs,pct_of_dev_labels,seed,fold,arm,F1macro,RootAlarmChrono,RootAlarmKB,RootAlarm_n
1,21,0.25,17,4,proposed,0.20198429076489918,0.09866666666666667,0.3873333333333333,1500
1,21,0.25,42,0,cnn,0.16808928225350522,,,0
1,21,0.25,42,0,lookup,0.1385311049668574,0.15476984656437626,0.37825216811207474,1499
1,21,0.25,42,0,proposed,0.1629824435399419,0.15476984656437626,0.3989326217478319,1499
1,21,0.25,42,1,cnn,0.13735186360399268,,,0
1,21,0.25,42,1,lookup,0.09556942692312025,0.218812541694463,0.3989326217478319,1499
1,21,0.25,42,1,proposed,0.1409231329068417,0.218812541694463,0.4229486324216144,1499
1,21,0.25,42,2,cnn,0.1719603441830552,,,0
1,21,0.25,42,2,lookup,0.1768732640893673,0.20666666666666667,0.368,1500
1,21,0.25,42,2,proposed,0.1833040493654438,0.20666666666666667,0.366,1500
1,21,0.25,42,3,cnn,0.1540723615309194,,,0
1,21,0.25,42,3,lookup,0.18072802891184186,0.22214809873248834,0.3695797198132088,1499
1,21,0.25,42,3,proposed,0.24663193426661167,0.22214809873248834,0.4676450967311541,1499
1,21,0.25,42,4,cnn,0.16977356802461746,,,0
1,21,0.25,42,4,lookup,0.1724112316224474,0.21747831887925284,0.3682454969979987,1499
1,21,0.25,42,4,proposed,0.21901668442596192,0.21747831887925284,0.36490993995997334,1499
2,42,0.5,5,0,cnn,0.23286666070418088,,,0
2,42,0.5,5,0,lookup,0.18488027328031117,0.17945296864576385,0.466977985323549,1499
2,42,0.5,5,0,proposed,0.21651591941847903,0.17945296864576385,0.40093395597064707,1499
2,42,0.5,5,1,cnn,0.20191957217799988,,,0
2,42,0.5,5,1,lookup,0.1975337381205971,0.3315436241610738,0.4785234899328859,1490
2,42,0.5,5,1,proposed,0.22444250812294783,0.3315436241610738,0.3959731543624161,1490
2,42,0.5,5,2,cnn,0.224492981985486,,,0
2,42,0.5,5,2,lookup,0.17515968168811874,0.24549699799866578,0.4836557705136758,1499
2,42,0.5,5,2,proposed,0.21178972348421665,0.24549699799866578,0.43162108072048033,1499
2,42,0.5,5,3,cnn,0.13490256701490685,,,0
2,42,0.5,5,3,lookup,0.14722358779560157,0.2133243606998654,0.4004037685060565,1486
2,42,0.5,5,3,proposed,0.2627728192236934,0.2133243606998654,0.37617765814266485,1486
